ReviewID,Date,ElapsedDays,Rating,Title,ReviewText,Length,Sentiment,Votes,Helpful,SalesUp,ReturnsUp,Image,Year,Month,Day,Title_word_count,Review_word_count
r0020,2021-04-12,1258,5,Great for spring and fall,"This is a lightweight jacket that insulates very well for spring and fall. If you ordered it expecting a heavy down coat for winter, well, I guess you've already written a negative review. Just because it's lightweight doesn't make it ""flimsy"". Mine has held up very well and has not torn, it has good water resistance for not being a waterproof material, and I love how light it is. This is a perfect mid layer, and Arc'Teryx is good about sizing their clothing with function and layering in mind, so just order your normal size. I would recommend it for 20-50F degree weather, so it's quite versatile, but you'll want something warmer or another layer for the really cold temperatures. I've been told the hood looks ""adorable"" :)",128,1,0,0,0,0,,2021,4,12,5,128
r0021,2020-08-01,1512,5,Love this puffy jacket!,"I love my Atom hoody. It's even better than the non-hooded version. It is so soft and comfy. Can't wait for fall! I ordered my normal size, and it fits just right.",32,1,0,0,0,0,,2020,8,1,4,32
r0022,2020-07-17,1527,5,Wouldn't change a thing,"I used this jacket on a recent mountaineering trip to Alaska and it was perfect! Worn on top of a long underwear top, I was completely warm, even in 18 degree weather. During a snow storm, I didn't bother putting on my Gortex rain jacket because it kept me completely dry. It packs up really small (I kept it in the brain of my pack for easy access) and is super lightweight. I don't know how they did it but Arc'teryx designed a bombproof jacket that can keep the coldest human (me) warm and comfortable. Size/Color: I'm 5'7'' and 125lbs. I bought a medium in bud. I found the fit to be relaxed and ideal for layering. The color is bright but I love it.",125,1,0,0,0,0,,2020,7,17,4,125
r0023,2020-02-20,1675,1,Not worth the money...AT ALL!,"This jacket is thin and flimsy as paper. Wouldn't mind this if the jacket actually kept me warm but it doesn't. I don't know what their definition of ""insulated"" is...but insulated my ass. At most, this jacket will serve as decent windbreaker on a cool SPRING day.",47,0,0,0,1,0,,2020,2,20,5,47
r0024,2020-01-18,1708,5,Perfect mid layer!,"I have wanted a puffy for a long time now, and finally bit the bullet and bought this jacket in the color Bud. First impression was the color was a LOT brighter than it looks online - more of a very bright lime green rather than the pale lime green it appears to be. Whatever, still love the color. It's a bit thinner than I expected, but that doesn't change my opinion on this jacket at all, since it seems quite warm enough. Absolutely LOVE the wrist cuffs and as another reviewer said, it sports the best non-drawstring hood I've worn. I bought this thinking I would just wear this as a mid layer for cold weather hiking or skiing, but I actually wear this all the time now and it has become my every day jacket. I have worn it in light rain and it's just fine. It's great on its own: the cut and fit are perfect. What I like best about it, though, is that I can actually wear this under OR over another layer. (I have the Patagonia slopestyle hoodie and this jacket can go both ways with it, so it's very versatile - I've also worn it over bulky sweaters.) Last, it is extremely well made and very typical of the high quality that I'm used to from Arc-Teryx. Will be testing it out skiing this weekend. Highly recommend!",234,1,6,1,1,0,,2020,1,18,3,234
r0025,2020-01-15,1711,3,not that warm,"The atom makes a nice, light layer, but its not much of a cold-weather jacket. Wind flies through every seam. Every breeze sends cold air swirlign around my arms. And the fleece breathes way too much for me. The jacket keeps my back toasty and my head warm while my arms, armpits and shoulders freeze. Its an odd combination. The Atom must be meant for hot blooded people who need to dump lots of heat. The Atom would give them a sweaty back though, but they wouldnt be chilled by it. Good points: the jacket IS water resistant. its comfy. it has the best non-adjustable hood I've ever worn. its light. and the cuffs at the wrists are genius. Atom has a nice feminine silouette. But I disagree with another reviewer about sizing down. The jacket is close around the hips, and theres no way any woman with 40 inch hips could wear a medium as per the size chart. There isnt enough fabric to go around, and the fleece isnt THAT stretchy. I think the pockets would be stretched open if you wore a medium with anythigng more than 38 inch hips. It wouldnt be a good look. There IS a drawcord, so even if you picked a bigger size you could cinch it if you had to.",219,0,0,0,1,0,,2020,1,15,3,219
r0026,2020-01-06,1720,5,This jacket is awesome!,"I bought this jacket a few months ago and I'm still in love. I wear it mostly around town as an outer layer cause it looks good. But I recently started wearing it as a mid layer for cold resort days and as an outer layer for touring (I usually put a shell over it for the ride down). This thing is toasty - and despite the side panels - it pretty much blocks all wind. The waterproofing is reasonable, but I'm not too demanding on that front (I live in UT). It's also more breathable than I expected and I have found that it dries really quick. The hood is awesome and if you put it on and pop your hands in the pockets you will be warm in no time. The fit on this jacket is fantastic. I never feel like it inhibits movement. And the thing is definitely durable. I have stuffed it in backpacks and worn it constantly and it still looks brand new. I highly recommend this one.",173,1,0,0,0,0,,2020,1,6,4,173
r0027,2019-12-27,1730,4,"Cozy, layerable, and perfectly-fitted","I love this jacket. It fits snuggly, tight in all the right areas so that I don't look like a man and comfy enough to perform a gymnastics floor routine. Just the right amount of layerable warmth, making it the perfect companion to spring rain coat and winter wear. It's thin but this sucker gets hot fast -- which, as a perpetually cold person -- I love.",67,1,0,0,0,0,,2019,12,27,4,67
r0028,2019-12-25,1732,4,pretty sweet but a little cold,Very comfortable and looks great. However I expect synthetic insulation pieces to be a little warmer. The fabric strech panels loose alot of heat and let wind in. Put a shell over it and it is better but it lacks loft to be a true winter heater. Perhaps better for active pursuits but I dont see reaching for sythetic loft jacket for a workout?,64,1,0,0,0,0,,2019,12,25,6,64
r0029,2019-12-02,1755,4,"it's not you, it's me.","This is one classy jacket. Its incredibly flattering, well cut, dare i say tailored? It has these amazing stretchy panels on the sides and underarms, and the cuffs are really well done. The thing feels better than a second skin. In spite of this, I returned it. why? well it's just so light weight I don't trust it to be warm enough all by it's onesies for 30 degrees and below. Maybe im just too used to my 5yr old 10lb north face gortex insulated number. Plus, I saw the Golite Reverb on sale for half the price and snatched that up. The reverb is sturdier looking and just feels tougher than the atom. By all accounts the atom lt is actualy very warm and sturdy, maybe I'm just not ready for the technology where such warmth comes from something so light weight, silky smooth, and attractive. If you get this (and i recommend you do if you have the dough), you should probably also have some sort of a fleece layer underneath for hellishly cold days. and as for sizing, I'm 5'8, 120 lbs with very long arms and broad shoulders, and the medium was roomy. I'd say you could size down on this one.",206,1,0,0,0,0,,2019,12,2,5,206
r0030,2021-02-11,1318,3,with a bit more fill...,"this would be all I'd need to separate my long undershirt and Arcteryx shell. But I did not find it to be as warm as I had hoped for an insulating layer for alpine skiing in the Northeast. Other than that, it is beautifully made & looks good on; just could use a few more ounces of fill, IMHO.",59,0,0,0,0,0,,2021,2,11,5,59
r0031,2020-12-19,1372,5,Killer!,"This jacket is stunning -- light, warm, perfectly fitted -- another ideal design from Arc'teryk.",15,1,0,0,0,0,,2020,12,19,1,15
r0032,2020-12-06,1385,5,Arc'teryx atom Lt jacket,"I have seen Arc'teryx gear at my favorite sporting goods store for year,but never tried them. I thought they were just tooooo pricey. I got the atom Lt jacket for Christmas and am in love with it. It is THE PERFECT MID LAYER ever. It is warmer than any fleece mid layer and the fit is perfect. So when worn under an outer jacket,there is no bulk to it,but DANG IT'S WARM. The extra goodies in the jacket like the stretch material at the end of the sleeves and down the arm put to the bottom of the jacket makes moving around easy and effortless. I am now an Arc'teryx fan FOREVER.!!!!",112,1,1,1,1,1,,2020,12,6,4,112
r0033,2020-11-29,1392,5,Atom all the way,"Amazing! I received the magenta in M and it fits like a glove. SO pleased with this purchase. Nice and easy to throw on to go into town, keeps me warm when I am hiking, and I am sure it will be a great layering piece when I am up in the mountains. Lots of compliments already! You will not be disappointed.",62,1,1,1,0,0,,2020,11,29,4,62
r0034,2020-11-28,1393,5,great jacket,"The fit is perfect- tailoured enough to look good when wearing on its own and to wear under a shell, but still enough room for additional layers underneath. The cuffs are also great- made from elasticized material that stops any cold air from seeping in when raising your arms. Very warm. Down to -5C or so, I wear it around without a shell and am happy. For colder/wetter conditions, my gore tex shell comes on top. And so light! People constantly wonder how something so thin and light is warm, but somehow it is. It is nice to wear something that doesn't look or feel bulky but still be warm. Breathability seems good, but haven't yet tested it under extreme conditions ie ice climbing. Water resistant against light rain. I choose the non-hooded version because I planned to wear it under a shell during the winter anyway, in which case an additional hood would just be irritating. Also because I read that the hood was (unusual for arcteryx) ill-fitting. I read that there is a drawcord on the atom lt hoody- this would be a nice improvement to the atom lt.",191,1,0,0,0,0,,2020,11,28,2,191
r0035,2020-07-23,1521,5,Great puffy jacket!,"Nice puffy jacket from Arcteryx. Fit is true to size, although I wouldn't mind it being a little longer. Lightweight, but warm, and great under a shell.",27,1,0,0,0,0,,2020,7,23,3,27
r0036,2020-02-18,1677,5,Great midlayer,"This is a super lightweight but cozy jacket. I pair it with the Mountain Hardwear carina jacket while skiing and its awesome. Never get cold even in 20 degree weather. I'm 5'4"" 120lbs, petite build and got the XS. Its a good, snug fit over a baselayer and thin fleece shirt.",51,1,0,0,1,1,,2020,2,18,2,51
r0037,2020-02-08,1687,5,Great fit and light-weight warmth,"I bought this jacket just to wear around the town although I knew it had many performance type of features. I have plenty of ugly jackets that perform when I go running but I wanted a light-weight but warm jacket that is flattering. Well, I got exactly what I wanted. It fits like gloves (xs for 5'3"" & 115lb) and moves with you because of the way it's constructed. It's warm enough by itself over a decent base-layer in Boston winter (avg. ~30F during the day) if you're walking a few steps between car and indoor or if you're being active. It will also be perfect for chilly spring and fall days. It is not going to be enough if you have to stand around in the cold or if it's extremely windy. Easy to pack for travel.",138,1,0,0,0,0,,2020,2,8,5,138
r0038,2019-10-25,1793,5,Excellent design...A must have jacket!,"I wasn't really sure what to expect when I ordered this, but I thought I'd give it a try. Well what I discovered is that this is an absolute must have piece. It's super lightweight, soft and comfortable, and can function as a stand alone jacket or a midlayer. The main body is a nylon wind-type shell that is lightly insulated, but it has stretch panels on the sides that are breathable. The cuffs are a soft lycra-type material and are very comfortable and work to seal out the wind. The jacket is so cozy, I don't want to take it off. I'll wear it alone most of the time, since winters here are mild, but when I head to colder climates I'll layer this under a hard shell.",129,1,3,1,1,0,,2019,10,25,5,129
r0039,2019-09-13,1835,5,Arc'teryx Atom LT Jacket,"This is my favorite new jacket for fall. It is amazingly light, has a great athletic fit that moves with you, and is so warm for it's weight. This is a new product from Arc'teryx and I really think they're on to something here. This is a piece no athlete who wants to play outside all year long should be without.",61,1,1,1,1,0,,2019,9,13,4,61
r0040,2021-01-30,1330,5,Excellent jacket!,"This is a fantastic jacket. I can't believe how light and comfortable it is. I am actually surprised by how warm it is too. It truly feels like it adjusts to my temperature needs. I can't wear it as the only layer on cold days skiing, but with a underlayer and a shell, I am good to go. I also love it on hikes in the cold, it really keeps me warm and I am someone who is always cold. I really intended this to be a jacket for working out, but it is so comfortable and attractive I wear it as my around town jacket too. I highly recommend it.",111,1,0,0,0,0,,2021,1,30,2,111
r0041,2020-09-29,1453,5,This jacket is Awesome!,"This is exactly what I was looking for... something to wear when it's too cold for a fleece, but not cold enough for my heavier down winter coat. This fits the bill perfectly. It's so lightweight and packable, but warm and soft at the same time. I think I'm going to get more use out of this jacket than any other. The fit is great. I'm 5'-5"" and 113 pounds and the small is just right. It looks fitted and slim with or without a light fleece underneath.. very flattering jacket... I got the Kalamata color and just love it. It's a dark purple... will work well on the slopes, hiking, biking, dog walking, shopping, out on the town, or to work. This is a quality jacket I will wear for years to come... I have a closet full of nice jackets and I can tell this will be my favorite.",151,1,1,1,0,0,,2020,9,29,4,151
r0042,2021-02-12,1317,5,Awesome,Really an awesome jacket!,4,1,0,0,0,1,,2021,2,12,1,4
r0043,2019-10-30,1788,5,Best rain jacket so far!,"Strictly as a rain jacket, this one has been the best for me. I work for the Park Service and wore this doing field work in the torrential rain. I was the only one that was bone dry at the end of the day. I got it in this very light blue color, which tends to get dirty real easily, but that's negligible. The only tiny detail that was a con for me, personally, was that the jacket wasn't as long as I would ideally like, the pockets are kind of small, and since its pro-shell gore-tex the jacket can be a little loud (I was told to take the jacket off during my road test because it was distracting!) Other than that it does its job, I would especially hope so for its price!",135,1,0,0,0,0,,2019,10,30,5,135
r0044,2019-10-27,1791,5,"One year later, Still dry.","Living in the Pacific NW this has been a year round jacket for me. Perfect for those showers in the spring and fall and great as a shell over a fleece during ski season. The inner pocket is ideal for the essentials on the mountain (rfid ski pass, dl and a credit card). Size wise, I bought a large. I'm 6' 150lbs. Great length in the sleeves. A little big on it's own but when layered with a base layer and fleece it is perfect for skiing down the mountain.",90,1,0,0,0,0,,2019,10,27,5,90
r0045,2019-10-20,1798,3,Too short,"I'm going to Bhutan next year and wanted a technical shell that could do it all. It had to be light weight, sturdy enough to handle a backpack, waterpoof enough to keep me dry standing in a full on shower, and roomy enough to wear multiple layers without feeling restricted. The AR almost fit the bill, but unfortunately wasn't long enough for my liking. I ended up returning it and going for the Theta AR which was a better choice for me because it's longer in back and will keep my butt dry! I'm 5'6'' 125 lbs and it fits me perfectly with plenty of space for added layering. Haven't stood in the shower with it on yet, but I have plenty of confidence in Arc'Teryx products so I know I won't drown!",133,0,0,0,0,0,,2019,10,20,2,133
r0046,2019-10-12,1806,2,Not the one for me,"I hoped I'd found a replacement for my 11 year old North Face (men's xs) but alas, no. The hand pockets are way too small even for my tiny hands and I sometimes need to stash gloves in them. Useless. Also the inside pocket is too small for anything essential. The main zipper is not two way, a major deal breaker for me and is awkward to work since it starts at the bottom edge of the jacket.The girlish styling on all these womens' jackets I find annoying. I want to stay dry and layer for cold and rainy weather, not show off my girlish figure. The waist hits me at the hips so is snug when it shouldn't be and yet is not as long as I'd like to block wind and rain.I love the way the hood works and the colour and the lack of velcro but those features are not enough for me to want to keep it. Maybe I could alter it to make the pockets bigger but I shouldn't have to.",177,0,0,0,1,0,,2019,10,12,5,176
r0047,2019-08-25,1854,5,Why Buy Any Other Jacket?,"This jacket seriously is the only shell you will ever need. I would know living in the rainy rainy Pac NW. It stops wind in its tracks and can take buckets and buckets of water all day while you stay perfectly dry inside. It is also pretty breathable for a shell--it does not have the inner condensation problems of gore-tex paclite for instance. To top off the amazing technical performance, the jacket looks like a million bucks and the fit is spot on. Couldn't ask for more. Sizing wise, I have the medium and am 5'10"" 145lbs with room for layers underneath.",102,1,1,1,0,0,,2019,8,25,5,102
r0048,2019-08-02,1877,5,Tried and True,"This jacket brings ""staying relatively comfy in heinous conditions"" to a whole new level. Switched into it midway through last season and suddenly became a warm and happy backcountry skier, winter camper, and mountaineer. Through blizzards, rain, and general abuse it held tough. And yes, it is pretty. Let's hope the quality keeps up now that everybody seems to be wearing one.",62,1,1,1,1,0,,2019,8,2,3,62
r0049,2019-06-22,1918,5,a little purple,"the blue jacket, as it turns out, is really more of a purple - but that is my only criticism! everything else about this jacket is excellent. the large hood that everyone else seems to indicate is a problem was the opposite for me - i think it is perfect sized for those of us who have large hair clips or put our hair in a bun - a little cinching (provided on the jacket) and the hood is perfect sized.",81,1,0,0,0,0,,2019,6,22,3,81
r0050,2019-06-21,1919,5,Excellent Jacket,"So far, I have used my jacket twice, while hiking in the Pacific NOrthWest. Both times, the jacket protected me from hail and drizzles. I'm don't usually follow the beaten path and like to climb up and down rocks, and so far the jacket hasn't torn or shown signs of wear. I tend to beat my gears up. So far so good. Cheers! Note: Size fit true. I wear XS and got XS with enough room to layer with several shirts,and fleece and still have enough room in the jacket. Down side for me is that there isn't lower side pockets to put my hands in. :( Feature I like, besides the entire jacket, is the hood. I like how I can keep my neck warm and not have to put the hoodie on.",134,1,0,0,0,0,,2019,6,21,2,134
r0051,2019-05-19,1952,3,Some limitations,"Overall its a great jacket light weight, water proof goretex pro shell that taskes very little pack space. However it was not suffiecient for my multiday skimountaineering demands. The material is a little to thin and not as durable as some other shells I own like the Patagonia Powderbowl or AK 3L given those are heavier. Also its not as wind proof as my other shells and the hood does not fit my helmet well So I ended up sending it back. I generally think Arcteryx products are great I own a pair of theta AR and beta AR pants which I love but were made in canada. I have a feeling since Arcteryx was baught by Amer sports and is producing in china the quality is not holding up to previous standards. I can say enough good things about Backcountry. A++ service!!! Keep it up!!!",146,0,1,1,1,0,,2019,5,19,2,146
r0052,2019-02-24,2036,5,super jacket,"i really am enjoying my jacket. It is well fitted and still able to wear a fleece shirt underneath. Definitely rain proof. It is not a long jacket, just to hips, so if it is really a down pour, I would recommend rain pants.",44,1,0,0,0,0,,2019,2,24,2,44
r0053,2019-02-23,2037,5,Recommended,"Tried on a Theta and Beta, went with the Beta. I am 5'1"", the Beta fits whereas, the Theta fits looser and longer on sleeves and length. It looks very flattering on. I have not worn it for outdoor activities yet, so can't say much about its performance but based on other reviews, it sounds pretty awesome!",57,1,0,0,0,0,,2019,2,23,1,57
r0054,2019-02-08,2052,5,awesome,"This jacket is great! Skiing with a fleece, running with a base-layer, and even just going out for a walk. defiantly worth the price.",24,1,0,0,0,1,,2019,2,8,1,24
r0055,2018-12-27,2095,5,AWESOME gore-tex jacket!!,"One of the nicest jacket's I've owned! Great with a softshell underneath on extremely cold days, great just as is for a jog or hike on autumn days! Extremely versatile, waterproof and good-looking!",33,1,0,0,0,0,,2018,12,27,3,33
r0056,2018-12-16,2106,3,chilly until you are moving,"this jacket is SUPER thin....just a shell basically. but a great shell! its very very waterproof and has a nice small fit. i just don't warm up in it right away, which can be tough. i love the big hood, and don't love the lack of pockets. good for skiing hard, bad for leisure walks with the dog.",58,0,1,1,0,0,,2018,12,16,5,58
r0057,2018-09-24,2189,5,"So far, so good!","very happy so far. Beta AR fits very well, looks good, feels good. I am pretty tall (5'10"") and the arms are long enough in the arms - very nice. I get loads of compliments every time I wear it! I also have the stingray, and the beta ar is not nearly as heavy or stiff, but is still very comfortable and water/wind proof.",64,1,4,1,1,0,,2018,9,24,4,64
r0058,2018-08-20,2224,5,The best!,"Bought this jacket to my wife. I have the Alpha SV. We both have them in black and they have the same stylish look (hard to tell them apart). The fit is perfect and the only noticable difference between Beta AR and Alpha SV is that the Alpha SV has moore pockets. We had the jackets in the Swedish mountains this summer. It was very windy and lots of rain and our jackets felt like fortresess! Like with all waterproof jackets, remember to have waterproof trousers or your trousers will get soaked.",92,1,2,1,1,0,,2018,8,20,2,92
r0059,2018-02-18,2407,4,Rockin Beta!,"Primary use: Motorcycle ride to work in rain/sleet. Secondary use: snowboarding. Strengths: Articulated elbows offer great fit in any position. Water-sealed seams are legitimate even in a total down pour you will remain dry as a bone. Materials look and feel quality and reinforcements are positioned appropriately. Colors are vibrant! Weaknesses: Fit could be slimmer, but once you've got some warm layers under this shell you almost need the room. Helmet compatible hood is bulky and only useful on rare occasions. Overall: The right choice if you need absolute dryness and quality fabrics/zippers that will last.",96,1,4,1,1,0,,2018,2,18,2,96
r0060,2017-11-23,2494,5,Super Jacket,"I love this jacket for mountaineering, skiing and snow shoeing in wet Cascade mountain conditions. Just bought second one, bright red for better visibility in back country. I agree with previous reviewer, fit, features and materials are excellent!",38,1,6,1,1,0,,2017,11,23,2,38
r0061,2017-11-17,2500,5,Best jacket ever,"Arc'teryx is all about high end fit, features and materials. This jacket delivers!",13,1,4,1,1,0,,2017,11,17,3,13
r0062,2020-12-31,1360,5,Wet not Warmth,"Great jacket! I've worn it a couple of times during heavy rainfall, and it's most certainly waterproof. Not very warm as it goes, but size is true to fit with room to layer. Can't wait to try it out on the slopes as a top layer...",46,1,0,0,0,0,,2020,12,31,3,46
r0063,2020-12-05,1386,5,Awesome Raincoat!!!,"I took this coat on my five month Appalachian Trail thru hike and it was awesome! There was a lot of rain that season, and it kept me dry. Even after its constant use, it is still the raincoat I use on hiking trips. The venitlation is great. Fit was perfect. I would highly recommend this jacket!",57,1,0,0,0,0,,2020,12,5,2,57
r0064,2020-11-18,1403,5,REALLY Good shell,"After having mine for a few months, I got this for my gf as well. She love's it and will never get another brand again. Her's is from 2006 so she has pit zips which she uses all the time. The newer version does not have pit zips. Her biggest praise is for 1) waterproofness, 2) excellent fit and 3) the full collar with separate hood. She loves this, which means when it starts to breakdown, I'm looking at getting another Beta SL for her.",85,1,0,0,0,0,,2020,11,18,3,85
r0065,2020-09-19,1463,5,Dry in Oregon!,"This is the best rain jacket I have ever owned! And living in Oregon, I own quite a few. It absolutely keeps me dry, even out in the rain camping or fishing for hours! Amazing! It doesn't even leak around the cuffs. All the zippers are absolutely waterproof too. It is very well made, and fits a women's body nicely, not boxy. Love the length also to keep me dry. I am 5'8"" 145 lbs, and bought the large. Plenty of room for layers underneath. Well worth the price!",89,1,0,0,0,0,,2020,9,19,3,89
r0066,2021-02-04,1325,5,Purrrrrfect!,Bought this for for a light weight outer layer for cool mornings and evenings on the trails. It is incredibly warm for such a lightweight piece and will pack up nice and small for my one-bag 3-week trip to Croatia later this year. Fits like a dream and the scuba hood is great for windy areas. And the purpla color - yummy!,62,1,0,0,0,0,,2021,2,4,1,62
r0067,2021-01-27,1333,4,looks slightly greenish,at least the brown color. love it otherwise!,8,1,0,0,1,1,,2021,1,27,3,8
